ticker,date,open,high,low,close
TWFG,2024-07-19,21.61,22.61,21.31,22.61
TWFG,2024-07-22,22.5,22.89,21.5,22.0
TWFG,2024-07-23,21.99,22.6,21.45,22.0
TWFG,2024-07-24,22.0,22.5,21.53,21.8
TWFG,2024-07-25,21.8,24.14,21.8,23.54
TWFG,2024-07-26,23.57,24.0,22.9,23.18
TWFG,2024-07-29,22.89,24.0,22.87,23.68
TWFG,2024-07-30,23.43,24.9,23.43,24.88
TWFG,2024-07-31,24.42,25.7199,24.2,25.26
TWFG,2024-08-01,25.17,25.17,24.08,24.84
TWFG,2024-08-02,24.18,25.04,22.93,24.85
TWFG,2024-08-05,23.9,25.0,23.6425,24.63
TWFG,2024-08-06,25.7,26.15,23.74,24.08
TWFG,2024-08-07,24.11,25.02,24.08,24.34
TWFG,2024-08-08,24.08,24.91,23.91,24.38
TWFG,2024-08-09,24.38,24.93,23.87,24.5
TWFG,2024-08-12,24.23,24.85,24.06,24.44
TWFG,2024-08-13,24.55,24.67,23.88,24.38
TWFG,2024-08-14,23.64,24.555,23.64,24.17
TWFG,2024-08-15,24.2,25.01,23.8899,24.48
TWFG,2024-08-16,24.16,25.43,24.16,24.54
TWFG,2024-08-19,24.45,26.6,24.0837,26.3
TWFG,2024-08-20,26.04,27.467,24.57,25.22
TWFG,2024-08-21,25.79,25.9794,24.88,25.51
TWFG,2024-08-22,25.24,26.21,24.74,25.61
TWFG,2024-08-23,25.77,26.18,25.35,25.86
TWFG,2024-08-26,26.11,26.25,24.74,26.07
TWFG,2024-08-27,25.71,27.45,25.6,26.87
TWFG,2024-08-28,25.8,26.77,24.2901,26.48
TWFG,2024-08-29,26.66,27.92,26.41,27.34
TWFG,2024-08-30,27.4,28.98,27.36,28.57
TWFG,2024-09-03,28.23,30.08,28.23,29.84
TWFG,2024-09-04,30.01,31.29,29.77,30.06
TWFG,2024-09-05,30.47,31.91,30.105,30.8
TWFG,2024-09-06,30.59,30.98,28.58,29.84
TWFG,2024-09-09,29.99,29.99,27.16,27.85
TWFG,2024-09-10,27.42,28.13,27.06,27.27
TWFG,2024-09-11,27.0,28.83,26.695,28.19
TWFG,2024-09-12,28.38,28.38,28.095,28.27
TWFG,2024-09-13,28.08,28.4,27.14,27.63
TWFG,2024-09-16,27.56,27.56,26.53,26.65
TWFG,2024-09-17,26.65,27.8,26.65,27.34
TWFG,2024-09-18,27.29,29.51,27.015,27.78
TWFG,2024-09-19,28.19,28.34,26.3,26.784
TWFG,2024-09-20,26.51,28.36,26.05,27.9499
TWFG,2024-09-23,28.5,28.8,27.37,27.9
TWFG,2024-09-24,28.09,29.035,26.6,26.86
TWFG,2024-09-25,26.88,27.52,26.55,26.85
TWFG,2024-09-26,26.92,28.71,26.92,28.09
TWFG,2024-09-27,28.28,28.98,27.72,28.03
TWFG,2024-09-30,27.19,27.19,27.04,27.19
TWFG,2024-10-01,27.12,27.82,26.265,26.855
TWFG,2024-10-02,26.49,27.64,26.3,27.52
TWFG,2024-10-03,27.52,27.59,27.085,27.32
TWFG,2024-10-04,27.24,27.24,26.93,27.24
TWFG,2024-10-07,27.47,27.47,26.01,27.11
TWFG,2024-10-08,26.82,28.41,26.67,28.16
TWFG,2024-10-09,28.38,29.32,28.38,28.93
TWFG,2024-10-10,28.94,29.18,28.55,29.16
TWFG,2024-10-11,28.93,30.0,28.825,29.67
TWFG,2024-10-14,29.93,30.23,29.09,29.295
TWFG,2024-10-15,29.21,29.84,28.485,28.68
TWFG,2024-10-16,28.99,30.1,28.51,29.41
TWFG,2024-10-17,29.62,30.14,29.15,29.2
TWFG,2024-10-18,29.2,30.0333,29.0738,30.03
TWFG,2024-10-21,30.08,32.0599,30.08,31.06
TWFG,2024-10-22,30.05,30.05,29.97,30.05
TWFG,2024-10-23,29.4986,30.57,29.4015,30.06
TWFG,2024-10-24,30.265,31.315,29.8,30.86
TWFG,2024-10-25,30.74,31.37,30.5,30.5
TWFG,2024-10-28,30.51,31.89,30.5,31.62
TWFG,2024-10-29,31.43,32.81,31.325,32.69
TWFG,2024-10-30,32.59,33.9,32.1,32.41
TWFG,2024-10-31,32.17,32.925,32.1,32.41
TWFG,2024-11-01,32.285,32.93,31.03,31.72
TWFG,2024-11-04,31.72,32.06,31.04,31.53
TWFG,2024-11-05,31.38,32.75,31.325,32.585
TWFG,2024-11-06,33.1,33.7,33.1,33.7
TWFG,2024-11-07,33.14,34.21,31.66,33.04
TWFG,2024-11-08,33.36,35.3968,32.8,33.37
TWFG,2024-11-11,34.55,36.5,33.415,33.62
TWFG,2024-11-12,34.69,34.69,32.505,32.99
TWFG,2024-11-13,32.64,33.8,31.61,31.61
TWFG,2024-11-14,31.62,32.08,30.01,30.87
TWFG,2024-11-15,31.64,31.78,30.06,31.14
TWFG,2024-11-18,30.93,32.63,30.93,32.01
TWFG,2024-11-19,32.05,32.505,31.36,32.26
TWFG,2024-11-20,32.42,33.06,31.98,32.68
TWFG,2024-11-21,32.56,33.7,32.15,33.41
TWFG,2024-11-22,33.71,35.72,32.72,35.59
TWFG,2024-11-25,35.59,36.15,33.35,33.35
TWFG,2024-11-26,33.31,34.0,32.615,33.71
TWFG,2024-11-27,34.29,36.2968,34.06,35.34
TWFG,2024-11-29,35.4,35.975,35.04,35.31
TWFG,2024-12-02,35.47,35.68,34.53,35.4
TWFG,2024-12-03,34.155,35.6,32.8863,34.97
TWFG,2024-12-04,34.66,35.7,34.425,35.31
TWFG,2024-12-05,35.62,36.31,33.6601,33.75
TWFG,2024-12-06,33.61,33.705,32.57,33.05
TWFG,2024-12-09,33.56,33.56,30.94,31.86
TWFG,2025-01-27,29.18,29.82,29.18,29.43
TWFG,2025-01-28,29.09,30.518,29.09,29.83
TWFG,2025-01-29,29.54,30.53,29.16,29.36
TWFG,2025-01-30,28.88,30.01,28.29,29.25
TWFG,2025-01-31,29.23,29.545,28.63,28.68
TWFG,2025-02-03,28.2,29.93,27.025,29.68
TWFG,2025-02-04,29.65,30.85,28.1,30.53
TWFG,2025-02-05,30.84,31.225,30.45,30.8
TWFG,2025-02-06,31.0,32.495,29.18,31.38
TWFG,2025-02-07,31.59,31.59,30.38,31.02
TWFG,2025-02-10,31.03,31.07,30.378,30.56
TWFG,2025-02-11,30.07,30.98,30.0,30.65
TWFG,2025-02-12,30.37,31.06,29.93,30.52
TWFG,2025-02-13,29.26,31.325,29.26,31.22
TWFG,2025-02-14,31.22,31.4,28.98,30.39
TWFG,2025-02-18,30.58,30.85,30.105,30.7
TWFG,2025-02-19,30.69,31.18,29.61,30.0
TWFG,2025-02-20,30.23,30.89,29.92,30.38
TWFG,2025-02-21,30.29,30.585,29.02,29.2
TWFG,2025-02-24,29.21,29.7,28.14,28.54
TWFG,2025-02-25,28.875,30.31,28.65,30.0
TWFG,2025-02-26,30.99,31.88,29.37,30.075
TWFG,2025-02-27,29.71,30.2,28.685,29.53
TWFG,2025-02-28,29.85,30.48,29.85,30.24
TWFG,2025-03-03,30.18,32.175,30.18,32.16
TWFG,2025-03-04,31.35,32.71,30.85,32.14
TWFG,2025-03-05,31.81,32.115,31.245,31.87
TWFG,2025-03-06,30.76,30.76,30.255,30.76
TWFG,2025-03-07,30.32,30.805,29.13,29.95
TWFG,2025-03-10,29.89,30.2207,29.34,29.55
TWFG,2025-03-11,29.6,30.32,28.99,30.08
TWFG,2025-03-12,30.03,30.08,29.15,29.83
TWFG,2025-03-13,29.83,29.83,28.735,28.82
TWFG,2025-03-14,29.92,29.92,29.04,29.04
TWFG,2025-03-17,29.645,30.29,29.645,30.13
TWFG,2025-03-18,29.75,31.045,29.75,30.66
TWFG,2025-03-19,30.81,32.0,30.48,32.0
TWFG,2025-03-20,31.99,32.01,28.8,30.15
