ticker,date,open,high,low,close
UEIC,1993-02-12,8.38,8.62,7.75,8.5
UEIC,1993-02-16,8.25,8.5,7.75,8.0
UEIC,1993-02-17,8.12,8.12,7.5,7.88
UEIC,1993-02-18,8.25,8.25,7.88,8.0
UEIC,1993-02-19,7.88,8.25,7.88,8.25
UEIC,1993-02-22,8.0,8.25,7.75,7.94
UEIC,1993-02-23,8.25,8.25,7.5,7.5
UEIC,1993-02-24,7.75,7.75,7.5,7.69
UEIC,1993-02-25,7.75,7.75,7.5,7.75
UEIC,1993-02-26,7.5,7.75,7.5,7.75
UEIC,1993-03-01,7.5,7.75,7.25,7.31
UEIC,1993-03-02,7.5,7.94,7.12,7.75
UEIC,1993-03-03,8.0,9.25,7.75,9.12
UEIC,1993-03-04,9.12,9.62,9.06,9.38
UEIC,1993-03-05,9.44,9.88,8.75,8.75
UEIC,1993-03-08,8.88,9.12,8.75,9.0
UEIC,1993-03-09,9.25,9.88,9.12,9.62
UEIC,1993-03-10,9.62,10.38,9.62,10.12
UEIC,1993-03-11,10.38,10.5,10.0,10.25
UEIC,1993-03-12,10.38,11.5,10.38,10.94
UEIC,1993-03-15,10.88,11.12,10.81,10.88
UEIC,1993-03-16,11.12,11.12,10.38,10.38
UEIC,1993-03-17,10.38,10.75,10.38,10.62
UEIC,1993-03-18,10.62,11.0,10.5,10.62
UEIC,1993-03-19,11.0,11.0,10.25,10.25
UEIC,1993-03-22,10.12,10.5,9.88,10.19
UEIC,1993-03-23,10.12,10.5,10.12,10.12
UEIC,1993-03-24,10.0,10.38,9.88,9.88
UEIC,1993-03-25,9.88,11.12,9.88,10.75
UEIC,1993-03-26,10.75,11.75,10.75,11.12
UEIC,1993-03-29,11.12,12.0,11.12,11.56
UEIC,1993-03-30,12.0,12.06,11.38,11.38
UEIC,1993-03-31,11.5,12.0,11.38,11.38
UEIC,1993-04-01,11.38,12.0,11.38,11.5
UEIC,1993-04-02,11.25,11.75,10.56,11.0
UEIC,1993-04-05,11.0,11.0,9.88,10.19
UEIC,1993-04-06,10.0,10.5,10.0,10.5
UEIC,1993-04-07,10.5,11.62,10.5,11.25
UEIC,1993-04-08,11.12,11.62,11.0,11.31
UEIC,1993-04-12,11.62,11.62,10.94,11.0
UEIC,1993-04-13,11.12,11.62,10.62,10.69
UEIC,1993-04-14,10.5,10.88,10.5,10.5
UEIC,1993-04-15,10.5,11.38,10.5,11.38
UEIC,1993-04-16,11.25,11.75,11.25,11.25
UEIC,1993-04-19,11.25,11.38,11.12,11.12
UEIC,1993-04-20,11.75,12.12,11.38,11.88
UEIC,1993-04-21,11.75,12.5,11.75,12.38
UEIC,1993-04-22,12.25,12.75,12.25,12.25
UEIC,1993-04-23,12.0,12.12,11.75,11.81
UEIC,1993-04-26,11.75,12.12,11.25,11.25
UEIC,1993-04-27,11.75,11.88,10.75,11.88
UEIC,1993-04-28,11.25,12.0,11.25,11.75
UEIC,1993-04-29,11.88,11.88,11.25,11.25
UEIC,1993-04-30,11.75,12.0,11.25,12.0
UEIC,1993-05-03,12.0,12.0,11.5,12.0
UEIC,1993-05-04,11.75,11.88,11.25,11.88
UEIC,1993-05-05,12.75,14.0,12.75,13.0
UEIC,1993-05-06,13.62,13.75,12.75,12.88
UEIC,1993-05-07,13.19,13.75,12.88,12.88
UEIC,1993-05-10,12.88,13.62,12.75,12.75
UEIC,1993-05-11,13.0,13.0,12.75,12.75
UEIC,1993-05-12,12.75,12.75,12.5,12.5
UEIC,1993-05-13,13.25,13.25,12.5,12.56
UEIC,1993-05-14,12.5,13.12,12.5,12.5
UEIC,1993-05-17,13.12,13.12,12.5,12.5
UEIC,1993-05-18,12.5,13.12,12.5,13.12
UEIC,1993-05-19,12.5,13.12,12.5,12.75
UEIC,1993-05-20,13.12,13.12,12.5,12.88
UEIC,1993-05-21,12.5,13.12,12.5,13.0
UEIC,1993-05-24,12.5,13.12,12.5,12.5
UEIC,1993-05-25,12.75,12.88,12.5,12.88
UEIC,1993-05-26,12.5,13.25,12.5,12.75
UEIC,1993-05-27,12.75,13.5,12.75,12.75
UEIC,1993-05-28,13.38,13.38,12.75,13.25
UEIC,1993-06-01,12.75,13.25,12.62,12.62
UEIC,1993-06-02,13.0,14.62,12.75,14.62
UEIC,1993-06-03,14.0,14.62,13.88,14.62
UEIC,1993-06-04,14.5,14.5,13.56,13.62
UEIC,1993-06-07,14.25,14.25,13.62,13.62
UEIC,1993-06-08,13.5,14.12,13.38,14.12
UEIC,1993-06-09,14.12,14.12,13.62,13.62
UEIC,1993-06-10,13.62,14.12,13.38,13.38
UEIC,1993-06-11,13.38,14.12,13.38,13.38
UEIC,1993-06-14,13.38,13.75,12.75,12.75
UEIC,1993-06-15,13.12,13.12,12.75,13.0
UEIC,1993-06-16,12.75,13.12,12.75,12.75
UEIC,1993-06-17,12.75,13.25,12.75,12.88
UEIC,1993-06-18,13.25,13.25,12.88,12.88
UEIC,1993-06-21,13.25,13.25,12.88,13.0
UEIC,1993-06-22,12.88,13.25,12.88,12.88
UEIC,1993-06-23,12.88,13.25,12.0,12.12
UEIC,1993-06-24,12.38,12.38,12.12,12.19
UEIC,1993-06-25,12.12,12.81,12.12,12.81
UEIC,1993-06-28,12.38,12.88,12.38,12.88
UEIC,1993-06-29,12.38,12.38,12.38,12.38
UEIC,1993-06-30,12.38,12.62,12.12,12.62
UEIC,1993-07-01,12.62,12.62,12.0,12.38
UEIC,1993-07-02,12.0,12.5,12.0,12.38
