ticker,date,open,high,low,close
UONEK,2000-06-07,24.5,28.0,24.5,24.75
UONEK,2000-06-08,24.62,24.62,21.75,21.75
UONEK,2000-06-09,22.5,24.5,22.5,24.06
UONEK,2000-06-12,24.5,25.0,23.25,25.0
UONEK,2000-06-13,24.78,25.38,24.5,25.0
UONEK,2000-06-14,25.0,27.12,24.88,25.75
UONEK,2000-06-15,24.5,24.62,22.75,23.25
UONEK,2000-06-16,22.25,22.25,21.38,21.75
UONEK,2000-06-19,21.06,21.38,20.5,21.06
UONEK,2000-06-20,20.88,21.0,18.5,19.75
UONEK,2000-06-21,19.25,25.44,19.25,21.25
UONEK,2000-06-22,21.0,21.94,20.75,20.88
UONEK,2000-06-23,20.88,20.88,19.88,20.12
UONEK,2000-06-26,20.12,20.62,18.88,20.0
UONEK,2000-06-27,19.38,21.62,19.38,20.88
UONEK,2000-06-28,20.75,20.94,17.0,20.12
UONEK,2000-06-29,19.31,24.0,18.0,24.0
UONEK,2000-06-30,24.0,27.25,21.75,22.06
UONEK,2000-07-03,22.25,23.0,21.81,23.0
UONEK,2000-07-05,23.06,24.38,22.38,23.12
UONEK,2000-07-06,23.62,24.5,21.62,21.62
UONEK,2000-07-07,21.69,21.69,19.38,19.56
UONEK,2000-07-10,19.56,19.56,15.88,15.88
UONEK,2000-07-11,16.69,18.38,16.62,18.19
UONEK,2000-07-12,18.03,19.5,18.0,19.38
UONEK,2000-07-13,19.5,19.5,18.88,19.38
UONEK,2000-07-14,19.38,19.5,17.5,18.5
UONEK,2000-07-17,18.97,19.5,18.75,19.5
UONEK,2000-07-18,18.62,19.56,18.62,18.88
UONEK,2000-07-19,18.69,19.0,18.12,19.0
UONEK,2000-07-20,19.12,19.12,18.62,18.88
UONEK,2000-07-21,19.0,19.31,18.81,19.0
UONEK,2000-07-24,19.0,19.25,18.62,18.75
UONEK,2000-07-25,18.75,18.75,18.12,18.19
UONEK,2000-07-26,18.0,18.25,17.88,18.06
UONEK,2000-07-27,18.19,18.19,17.81,17.94
UONEK,2000-07-28,17.75,18.25,16.12,17.19
UONEK,2000-07-31,17.38,18.88,17.38,18.88
UONEK,2000-08-01,18.75,19.69,18.44,19.12
UONEK,2000-08-02,19.44,19.81,19.12,19.81
UONEK,2000-08-03,19.56,19.69,18.66,19.06
UONEK,2000-08-04,19.25,19.75,18.75,19.69
UONEK,2000-08-07,19.62,19.75,19.44,19.62
UONEK,2000-08-08,19.62,20.0,19.56,20.0
UONEK,2000-08-09,20.0,20.75,19.62,20.25
UONEK,2000-08-10,20.62,20.62,19.5,19.5
UONEK,2000-08-11,19.75,20.0,19.12,19.12
UONEK,2000-08-14,19.12,19.5,19.12,19.5
UONEK,2000-08-15,19.5,20.0,19.38,20.0
UONEK,2000-08-16,19.75,21.0,19.75,20.44
UONEK,2000-08-17,20.5,20.5,19.94,19.94
UONEK,2000-08-18,19.88,20.69,19.62,20.44
UONEK,2000-08-21,20.75,20.75,20.0,20.06
UONEK,2000-08-22,19.5,20.12,19.19,19.38
UONEK,2000-08-23,19.12,19.31,18.5,18.56
UONEK,2000-08-24,18.81,18.81,18.31,18.31
UONEK,2000-08-25,18.31,18.62,18.25,18.44
UONEK,2000-08-28,18.5,19.25,18.44,19.25
UONEK,2000-08-29,19.06,19.25,18.25,18.38
UONEK,2000-08-30,18.25,18.94,18.19,18.88
UONEK,2000-08-31,18.44,19.0,17.19,17.56
UONEK,2000-09-01,17.81,17.81,16.88,17.44
UONEK,2000-09-05,17.38,17.62,16.75,17.0
UONEK,2000-09-06,17.0,17.0,16.56,16.62
UONEK,2000-09-07,16.88,16.88,16.0,16.0
UONEK,2000-09-08,16.0,16.0,14.62,15.06
UONEK,2000-09-11,15.0,15.06,13.0,13.81
UONEK,2000-09-12,13.69,13.88,13.19,13.5
UONEK,2000-09-13,13.69,15.12,13.69,15.06
UONEK,2000-09-14,14.88,15.5,14.62,15.25
UONEK,2000-09-15,15.38,16.0,15.0,15.56
UONEK,2000-09-18,15.5,15.88,15.38,15.75
UONEK,2000-09-19,15.75,15.75,15.0,15.0
UONEK,2000-09-20,15.44,15.44,14.69,14.69
UONEK,2000-09-21,14.69,14.75,10.0,10.94
UONEK,2000-09-22,10.94,11.0,8.38,8.44
UONEK,2000-09-25,8.47,8.5,5.88,5.88
UONEK,2000-09-26,5.98,6.0,5.62,5.75
UONEK,2000-09-27,5.7,6.94,5.69,6.69
UONEK,2000-09-28,6.52,7.12,6.52,7.06
UONEK,2000-09-29,7.12,7.25,6.81,7.06
UONEK,2000-10-02,7.42,7.44,6.06,6.59
UONEK,2000-10-03,6.47,6.69,5.62,6.06
UONEK,2000-10-04,6.38,6.38,5.69,5.94
UONEK,2000-10-05,5.97,6.88,5.88,6.56
UONEK,2000-10-06,6.52,7.19,6.5,7.19
UONEK,2000-10-09,7.25,7.34,6.94,7.0
UONEK,2000-10-10,6.97,6.97,6.5,6.53
UONEK,2000-10-11,6.62,6.62,6.12,6.19
UONEK,2000-10-12,6.27,6.31,5.56,5.69
UONEK,2000-10-13,5.75,5.75,5.56,5.69
UONEK,2000-10-16,5.88,5.88,5.69,5.88
UONEK,2000-10-17,6.0,6.19,5.75,6.12
UONEK,2000-10-18,5.81,6.56,5.81,6.12
UONEK,2000-10-19,6.25,7.25,6.25,7.0
UONEK,2000-10-20,7.12,7.88,7.12,7.5
UONEK,2000-10-23,7.75,8.0,7.5,7.75
UONEK,2000-10-24,7.78,7.94,7.75,7.75
UONEK,2000-10-25,7.81,7.81,7.19,7.5
UONEK,2000-10-26,7.31,8.0,7.31,7.88
UONEK,2000-10-27,7.81,7.94,7.62,7.81
UONEK,2000-10-30,7.69,8.25,7.62,8.0
UONEK,2000-10-31,8.25,8.44,8.0,8.02
UONEK,2000-11-01,8.19,10.5,8.0,10.25
UONEK,2000-11-02,11.3,13.75,11.3,13.19
UONEK,2000-11-03,12.88,13.12,11.62,11.69
UONEK,2000-11-06,11.94,13.25,11.44,12.62
UONEK,2000-11-07,12.0,12.12,11.88,12.0
UONEK,2000-11-08,12.12,12.12,11.62,11.75
UONEK,2000-11-09,11.62,11.62,10.12,11.19
UONEK,2000-11-10,11.31,11.31,10.0,10.06
UONEK,2000-11-13,10.02,10.12,9.5,9.94
UONEK,2000-11-14,10.19,10.56,10.0,10.44
UONEK,2000-11-15,10.44,10.88,10.31,10.5
UONEK,2000-11-16,10.56,10.81,10.44,10.75
UONEK,2000-11-17,10.81,11.75,10.62,11.56
UONEK,2000-11-20,11.31,11.31,10.81,11.06
UONEK,2000-11-21,11.0,11.0,10.19,10.25
