ticker,date,open,high,low,close
VACH,2024-10-01,9.97,9.98,9.97,9.97
VACH,2024-10-02,9.98,9.98,9.97,9.97
VACH,2024-10-03,9.975,9.99,9.97,9.98
VACH,2024-10-04,9.98,9.98,9.98,9.98
VACH,2024-10-07,9.98,9.99,9.98,9.98
VACH,2024-10-08,9.98,10.0,9.98,10.0
VACH,2024-10-09,9.98,10.02,9.98,10.01
VACH,2024-10-10,10.01,10.01,10.0,10.0
VACH,2024-10-11,10.0,10.0,10.0,10.0
VACH,2024-10-14,10.0,10.0,9.99,9.99
VACH,2024-10-16,10.01,10.01,10.01,10.01
VACH,2024-10-18,10.0,10.02,10.0,10.02
VACH,2024-10-21,10.0,10.0022,10.0,10.0022
VACH,2024-10-22,10.0005,10.03,10.0005,10.03
VACH,2024-10-23,10.02,10.03,10.01,10.01
VACH,2024-10-24,10.02,10.02,10.02,10.02
VACH,2024-10-25,10.05,10.05,10.015,10.02
VACH,2024-10-28,10.02,10.03,10.02,10.02
VACH,2024-10-29,10.02,10.08,10.02,10.08
VACH,2024-10-30,10.2443,11.2,10.01,10.03
VACH,2024-10-31,10.1468,10.985,10.02,10.02
VACH,2024-11-01,10.02,10.02,10.02,10.02
VACH,2024-11-04,10.2274,11.07,10.01,10.04
VACH,2024-11-05,10.04,10.04,10.04,10.04
VACH,2024-11-06,10.02,10.02,10.02,10.02
VACH,2024-11-07,10.02,10.02,10.02,10.02
VACH,2024-11-08,10.04,10.04,10.02,10.02
VACH,2024-11-11,10.03,10.03,10.02,10.03
VACH,2024-11-12,10.02,10.03,10.02,10.03
VACH,2024-11-14,10.03,10.03,10.02,10.03
VACH,2024-11-15,10.02,10.03,10.02,10.03
VACH,2024-11-18,10.02,10.03,10.01,10.02
VACH,2024-11-19,10.03,10.03,10.01,10.01
VACH,2024-11-20,10.02,10.02,10.015,10.015
VACH,2024-11-21,10.015,10.02,10.01,10.02
VACH,2024-11-22,10.02,10.02,10.01,10.0179
VACH,2024-11-25,10.02,10.02,10.02,10.02
VACH,2024-11-26,10.02,10.02,10.02,10.02
VACH,2024-11-27,10.02,10.02,10.02,10.02
VACH,2024-11-29,10.0305,10.0351,10.02,10.02
VACH,2024-12-02,10.02,10.0275,10.02,10.02
VACH,2024-12-03,10.03,10.03,10.02,10.02
VACH,2024-12-04,10.01,10.02,10.01,10.02
VACH,2024-12-05,10.03,10.03,10.03,10.03
VACH,2024-12-06,10.02,10.02,10.02,10.02
VACH,2024-12-09,10.0319,10.0319,10.01,10.01
VACH,2025-01-27,10.07,10.08,10.06,10.07
VACH,2025-01-28,10.08,10.08,10.08,10.08
VACH,2025-01-30,10.085,10.09,10.07,10.07
VACH,2025-01-31,10.07,10.07,10.07,10.07
VACH,2025-02-03,10.08,10.0901,10.08,10.0901
VACH,2025-02-04,10.08,10.08,10.08,10.08
VACH,2025-02-05,10.09,10.09,10.08,10.08
VACH,2025-02-06,10.095,10.095,10.095,10.095
VACH,2025-02-07,10.08,10.09,10.08,10.0882
VACH,2025-02-10,10.09,10.11,10.09,10.105
VACH,2025-02-11,10.14,10.15,10.1,10.11
VACH,2025-02-12,10.11,10.11,10.11,10.11
VACH,2025-02-13,10.1189,10.1302,10.105,10.11
VACH,2025-02-14,10.14,10.14,10.14,10.14
VACH,2025-02-18,10.12,10.12,10.12,10.12
VACH,2025-02-19,10.115,10.115,10.11,10.11
VACH,2025-02-20,10.11,10.13,10.11,10.13
VACH,2025-02-21,10.12,10.12,10.12,10.12
VACH,2025-02-24,10.13,10.13,10.12,10.12
VACH,2025-02-26,10.14,10.17,10.12,10.12
VACH,2025-02-28,10.17,10.17,10.16,10.16
VACH,2025-03-03,10.13,10.14,10.13,10.14
VACH,2025-03-04,10.17,10.17,10.13,10.13
VACH,2025-03-05,10.16,10.18,10.16,10.18
VACH,2025-03-06,10.1428,10.1428,10.1428,10.1428
VACH,2025-03-07,10.1425,10.16,10.1425,10.16
VACH,2025-03-11,10.15,10.15,10.15,10.15
VACH,2025-03-12,10.19,10.19,10.19,10.19
VACH,2025-03-13,10.16,10.16,10.16,10.16
VACH,2025-03-17,10.16,10.19,10.16,10.16
VACH,2025-03-18,10.19,10.19,10.16,10.16
VACH,2025-03-19,10.19,10.2,10.18,10.2
VACH,2025-03-25,10.19,10.19,10.17,10.17
VACH,2025-03-27,10.22,10.22,10.2,10.21
VACH,2025-03-31,10.17,10.21,10.17,10.18
VACH,2025-04-01,10.2,10.2,10.1998,10.2
VACH,2025-04-07,10.2,10.22,10.2,10.22
VACH,2025-04-08,10.1909,10.23,10.19,10.23
VACH,2025-04-09,10.2,10.2,10.2,10.2
VACH,2025-04-10,10.23,10.242,10.23,10.24
VACH,2025-04-11,10.25,10.2793,10.25,10.25
VACH,2025-04-14,10.2395,10.2395,10.21,10.21
VACH,2025-04-22,10.21,10.21,10.21,10.21
VACH,2025-04-23,10.27,10.27,10.2589,10.2589
VACH,2025-04-24,10.24,10.2559,10.2384,10.25
VACH,2025-04-28,10.25,10.25,10.25,10.25
VACH,2025-04-29,10.26,10.28,10.26,10.26
VACH,2025-04-30,10.26,10.2752,10.26,10.2752
VACH,2025-05-01,10.28,10.28,10.2745,10.28
VACH,2025-05-02,10.3,10.3,10.28,10.29
VACH,2025-05-05,10.2965,10.2965,10.2965,10.2965
VACH,2025-05-06,10.3,10.3,10.29,10.29
VACH,2025-05-07,10.3,10.3,10.275,10.275
