ticker,date,open,high,low,close
VIVK,2009-09-03,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-04,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-08,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-09,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-10,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-11,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-14,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-15,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-16,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-17,1500.0,1500.0,1500.0,1500.0
VIVK,2009-09-18,1500.0,1650.0,1500.0,1650.0
VIVK,2009-09-21,1650.0,1650.0,1650.0,1650.0
VIVK,2009-09-22,1650.0,1650.0,1650.0,1650.0
VIVK,2009-09-23,1650.0,1650.0,1650.0,1650.0
VIVK,2009-09-24,1650.0,1800.0,1650.0,1800.0
VIVK,2009-09-25,1950.0,1950.0,1800.0,1950.0
VIVK,2009-09-28,1950.0,1950.0,1650.0,1650.0
VIVK,2009-09-29,1650.0,2037.0,1650.0,1800.0
VIVK,2009-09-30,1650.0,1890.0,1200.0,1650.0
VIVK,2009-10-01,1770.0,1770.0,1500.0,1560.0
VIVK,2009-10-02,1680.0,1680.0,1620.0,1620.0
VIVK,2009-10-05,1050.0,1620.0,1050.0,1620.0
VIVK,2009-10-06,1620.0,1620.0,1470.0,1470.0
VIVK,2009-10-07,1440.0,1440.0,1440.0,1440.0
VIVK,2009-10-08,1440.0,1440.0,1440.0,1440.0
VIVK,2009-10-09,1410.0,1410.0,1410.0,1410.0
VIVK,2009-10-12,1200.0,1500.0,1050.0,1470.0
VIVK,2009-10-13,1050.0,1470.0,1050.0,1470.0
VIVK,2009-10-14,1470.0,1470.0,1470.0,1470.0
VIVK,2009-10-15,1200.0,1200.0,1050.0,1200.0
VIVK,2009-10-16,1200.0,1200.0,1200.0,1200.0
VIVK,2009-10-19,1200.0,1200.0,1200.0,1200.0
VIVK,2009-10-20,1200.0,1200.0,330.0,1050.0
VIVK,2009-10-21,600.0,906.0,510.0,906.0
VIVK,2009-10-22,900.0,900.0,900.0,900.0
VIVK,2009-10-23,900.0,900.0,900.0,900.0
VIVK,2009-10-26,900.0,900.0,900.0,900.0
VIVK,2009-10-27,900.0,1410.0,900.0,1260.0
VIVK,2009-10-28,1080.0,1320.0,1080.0,1200.0
VIVK,2009-10-29,1260.0,1500.0,1260.0,1500.0
VIVK,2009-10-30,1500.0,1500.0,1320.0,1350.0
VIVK,2009-11-02,1350.0,1410.0,1350.0,1410.0
VIVK,2009-11-03,1836.0,1836.0,1500.0,1500.0
VIVK,2009-11-04,1500.0,1500.0,1350.0,1350.0
VIVK,2009-11-05,1410.0,1410.0,1410.0,1410.0
VIVK,2009-11-06,1410.0,1410.0,1200.0,1350.0
VIVK,2009-11-09,1350.0,1440.0,1290.0,1410.0
VIVK,2009-11-10,1410.0,1470.0,1380.0,1470.0
VIVK,2009-11-11,1440.0,1680.0,1440.0,1680.0
VIVK,2009-11-12,1890.0,1890.0,1200.0,1740.0
VIVK,2009-11-13,1620.0,1770.0,1350.0,1650.0
VIVK,2009-11-16,1650.0,1650.0,1440.0,1530.0
VIVK,2009-11-17,1792.5,1800.0,1350.0,1440.0
VIVK,2009-11-18,1500.0,1620.0,1350.0,1407.0
VIVK,2009-11-19,1500.0,1500.0,1290.0,1320.0
VIVK,2009-11-20,1350.0,1440.0,1050.0,1242.0
VIVK,2009-11-23,1200.0,1290.0,960.0,1050.0
VIVK,2009-11-24,990.6,1170.0,870.0,1080.0
VIVK,2009-11-25,900.0,1230.0,900.0,990.0
VIVK,2009-11-27,990.0,1170.0,900.0,900.0
VIVK,2009-11-30,900.0,990.0,660.0,900.0
VIVK,2009-12-01,690.0,960.0,690.0,900.0
VIVK,2009-12-02,720.0,900.0,660.0,720.0
VIVK,2009-12-03,720.0,720.0,660.0,720.0
VIVK,2009-12-04,720.0,839.7,660.0,720.0
VIVK,2009-12-07,870.0,870.0,660.0,660.0
VIVK,2009-12-08,633.0,735.0,633.0,735.0
VIVK,2009-12-09,735.0,810.0,663.0,663.0
VIVK,2009-12-10,630.0,1077.0,630.0,810.0
VIVK,2009-12-11,840.0,870.0,720.0,795.0
VIVK,2009-12-14,855.0,960.0,825.0,885.0
VIVK,2009-12-15,840.0,855.0,660.0,750.0
VIVK,2009-12-16,750.0,825.0,660.0,690.0
VIVK,2009-12-17,675.0,690.0,570.0,615.0
VIVK,2009-12-18,600.0,630.0,540.0,540.0
VIVK,2009-12-21,540.0,600.0,510.0,600.0
VIVK,2009-12-22,570.0,600.0,450.0,555.0
VIVK,2009-12-23,555.0,555.0,480.0,510.0
VIVK,2009-12-24,510.0,540.0,480.0,540.0
VIVK,2009-12-28,540.0,540.0,483.0,483.0
VIVK,2009-12-29,483.0,570.0,480.0,531.0
VIVK,2009-12-30,570.0,570.0,510.0,510.0
VIVK,2009-12-31,480.0,540.0,480.0,510.0
VIVK,2010-01-04,540.0,570.0,510.0,570.0
VIVK,2010-01-05,525.0,570.0,510.0,510.0
