ticker,date,open,high,low,close
VOR,2021-02-05,42.02,63.62,25.32,37.5
VOR,2021-02-08,36.81,44.88,33.45,42.83
VOR,2021-02-09,43.25,45.88,39.0802,42.98
VOR,2021-02-10,44.5,46.4,40.94,43.75
VOR,2021-02-11,43.3,45.0,41.7068,42.88
VOR,2021-02-12,42.88,48.78,41.0895,48.78
VOR,2021-02-16,48.88,59.0,48.78,52.22
VOR,2021-02-17,52.18,56.0,47.71,49.47
VOR,2021-02-18,48.01,49.84,45.2,46.19
VOR,2021-02-19,46.64,49.5,45.185,48.91
VOR,2021-02-22,49.08,49.08,45.1,46.1
VOR,2021-02-23,45.1,45.55,36.35,43.44
VOR,2021-02-24,42.74,53.97,42.22,53.31
VOR,2021-02-25,52.01,58.41,48.67,54.08
VOR,2021-02-26,51.02,51.5,43.315,44.96
VOR,2021-03-01,45.61,48.55,45.6,48.0
VOR,2021-03-02,46.32,47.31,42.02,42.59
VOR,2021-03-03,43.58,43.83,38.4859,40.05
VOR,2021-03-04,39.38,39.38,30.25,33.7
VOR,2021-03-05,34.24,36.53,30.17,33.37
VOR,2021-03-08,32.02,38.28,30.665,30.96
VOR,2021-03-09,31.41,39.86,31.41,37.58
VOR,2021-03-10,39.08,43.99,38.34,40.05
VOR,2021-03-11,41.61,45.96,39.72,42.98
VOR,2021-03-12,42.84,44.98,40.71,44.4
VOR,2021-03-15,44.93,46.0,40.03,40.79
VOR,2021-03-16,41.14,42.87,39.56,39.86
VOR,2021-03-17,40.19,40.19,37.08,37.97
VOR,2021-03-18,37.44,39.99,37.08,38.71
VOR,2021-03-19,40.2,43.55,38.795,40.6
VOR,2021-03-22,39.83,43.91,39.37,43.71
VOR,2021-03-23,42.86,42.86,40.16,41.79
VOR,2021-03-24,41.56,41.56,38.44,38.7
VOR,2021-03-25,39.57,39.57,37.3,39.12
VOR,2021-03-26,38.83,40.78,35.91,36.58
VOR,2021-03-29,36.58,37.85,35.05,36.51
VOR,2021-03-30,36.5,39.505,35.5,39.06
VOR,2021-03-31,39.22,43.6099,37.87,43.1
VOR,2021-04-01,43.43,43.65,38.36,38.78
VOR,2021-04-05,39.46,39.78,36.9501,38.07
VOR,2021-04-06,38.31,41.1699,37.23,37.32
VOR,2021-04-07,37.48,37.9358,34.46,35.2
VOR,2021-04-08,35.56,36.71,33.07,33.69
VOR,2021-04-09,34.11,34.77,32.0,32.02
VOR,2021-04-12,32.19,33.36,30.01,32.13
VOR,2021-04-13,32.07,32.07,28.83,29.14
VOR,2021-04-14,29.39,34.44,29.2238,33.72
VOR,2021-04-15,33.74,33.74,30.49,31.5
VOR,2021-04-16,31.91,31.91,28.33,30.1
VOR,2021-04-19,29.7,31.41,28.24,28.56
VOR,2021-04-20,28.46,29.6119,25.62,27.25
VOR,2021-04-21,27.01,28.96,26.83,27.33
VOR,2021-04-22,27.48,30.37,26.75,29.7
