ticker,date,open,high,low,close
VSEE,2024-06-26,6.94,10.65,6.17,10.65
VSEE,2024-06-27,9.01,10.25,8.2846,8.9999
VSEE,2024-06-28,8.75,10.69,8.29,8.75
VSEE,2024-07-01,8.4,14.47,8.4,9.1
VSEE,2024-07-02,8.73,11.9,8.6267,10.5
VSEE,2024-07-03,10.06,11.71,10.0534,10.5
VSEE,2024-07-05,10.31,10.605,8.86,8.9599
VSEE,2024-07-08,8.71,8.71,6.9,7.1945
VSEE,2024-07-09,7.66,7.98,6.75,6.98
VSEE,2024-07-10,6.78,6.9157,5.42,6.26
VSEE,2024-07-11,5.75,6.9,5.75,6.2
VSEE,2024-07-12,6.13,7.2,5.89,6.74
VSEE,2024-07-15,6.32,6.3999,5.94,6.0
VSEE,2024-07-16,6.1,6.34,5.5,6.24
VSEE,2024-07-17,5.98,6.25,5.615,6.03
VSEE,2024-07-18,6.0,6.05,5.69,5.9
VSEE,2024-07-19,5.5,5.97,4.28,4.5192
VSEE,2024-07-22,4.5,4.6799,3.7,3.9299
VSEE,2024-07-23,3.84,3.9799,3.51,3.795
VSEE,2024-07-24,3.61,3.74,3.0,3.1
VSEE,2024-07-25,2.77,2.9225,2.61,2.6699
VSEE,2024-07-26,2.47,2.9671,2.47,2.825
VSEE,2024-07-29,2.75,4.48,2.75,3.69
VSEE,2024-07-30,3.7,3.79,2.25,2.31
VSEE,2024-07-31,2.57,2.57,2.35,2.35
VSEE,2024-08-01,2.41,2.56,2.3,2.43
VSEE,2024-08-02,6.2503,6.338,4.1,4.25
VSEE,2024-08-05,3.17,3.17,2.63,2.67
VSEE,2024-08-06,3.0,3.93,2.985,3.58
VSEE,2024-08-07,3.25,3.35,2.88,2.94
VSEE,2024-08-08,2.98,3.3843,2.8702,3.074
VSEE,2024-08-09,2.92,3.08,2.56,2.77
VSEE,2024-08-12,2.64,2.8,2.05,2.15
VSEE,2024-08-13,2.14,2.2454,1.8,1.92
VSEE,2024-08-14,1.9,2.08,1.85,2.02
VSEE,2024-08-15,2.0,2.1,1.83,1.93
VSEE,2024-08-16,1.91,1.93,1.7001,1.86
VSEE,2024-08-19,1.86,1.94,1.72,1.74
VSEE,2024-08-20,1.75,1.77,1.62,1.76
VSEE,2024-08-21,1.79,1.87,1.73,1.77
VSEE,2024-08-22,1.8,1.8199,1.66,1.77
VSEE,2024-08-23,1.79,1.79,1.6225,1.71
VSEE,2024-08-26,1.7,1.75,1.65,1.71
VSEE,2024-08-27,1.7098,1.73,1.65,1.67
VSEE,2024-08-28,1.69,1.69,1.4501,1.51
VSEE,2024-08-29,1.5457,1.6058,1.45,1.53
VSEE,2024-08-30,1.4927,1.53,1.4001,1.43
VSEE,2024-09-03,1.42,1.45,1.3041,1.31
VSEE,2024-09-04,1.26,1.3,1.16,1.16
VSEE,2024-09-05,1.21,1.5,1.18,1.415
VSEE,2024-09-06,1.38,1.45,1.3142,1.42
VSEE,2024-09-09,1.4,1.73,1.38,1.724
VSEE,2024-09-10,1.69,1.69,1.62,1.69
VSEE,2024-09-11,1.68,1.69,1.62,1.69
VSEE,2024-09-12,1.7,1.73,1.6,1.6
VSEE,2024-09-13,1.63,1.68,1.55,1.6
VSEE,2024-09-16,1.58,1.6,1.5502,1.56
VSEE,2024-09-17,1.59,1.59,1.52,1.52
