ticker,date,open,high,low,close
VTGN,2011-06-21,49.0,49.0,49.0,49.0
VTGN,2011-06-22,49.0,52.0,49.0,52.0
VTGN,2011-06-23,52.0,52.0,49.6,49.6
VTGN,2011-06-24,49.6,49.6,49.6,49.6
VTGN,2011-06-27,52.0,52.0,51.2,51.2
VTGN,2011-06-28,52.0,52.0,52.0,52.0
VTGN,2011-06-29,52.0,52.0,52.0,52.0
VTGN,2011-06-30,52.0,52.0,52.0,52.0
VTGN,2011-07-01,52.0,52.0,52.0,52.0
VTGN,2011-07-05,51.8,51.8,51.8,51.8
VTGN,2011-07-06,51.8,51.8,51.8,51.8
VTGN,2011-07-07,51.8,51.8,51.8,51.8
VTGN,2011-07-08,51.8,51.8,51.8,51.8
VTGN,2011-07-11,51.8,51.8,51.8,51.8
VTGN,2011-07-12,51.8,51.8,51.8,51.8
VTGN,2011-07-13,51.8,51.8,51.8,51.8
VTGN,2011-07-14,51.8,51.8,51.8,51.8
VTGN,2011-07-15,52.0,52.0,52.0,52.0
VTGN,2011-07-18,52.0,52.0,52.0,52.0
VTGN,2011-07-19,52.0,52.0,52.0,52.0
VTGN,2011-07-20,52.0,52.0,52.0,52.0
VTGN,2011-07-21,52.0,52.0,52.0,52.0
VTGN,2011-07-22,40.0,50.0,40.0,50.0
VTGN,2011-07-25,50.0,50.0,50.0,50.0
VTGN,2011-07-26,50.0,50.0,50.0,50.0
VTGN,2011-07-27,50.0,50.0,50.0,50.0
VTGN,2011-07-28,50.0,50.0,50.0,50.0
VTGN,2011-07-29,50.0,50.0,50.0,50.0
VTGN,2011-08-01,50.0,50.0,50.0,50.0
VTGN,2011-08-02,50.0,50.0,50.0,50.0
VTGN,2011-08-03,50.0,50.0,50.0,50.0
VTGN,2011-08-04,50.0,50.0,50.0,50.0
VTGN,2011-08-05,50.0,50.0,50.0,50.0
VTGN,2011-08-08,50.0,50.0,50.0,50.0
VTGN,2011-08-09,50.0,50.0,50.0,50.0
VTGN,2011-08-10,42.0,42.0,42.0,42.0
VTGN,2011-08-11,42.0,42.0,42.0,42.0
VTGN,2011-08-12,42.0,42.0,42.0,42.0
VTGN,2011-08-15,36.0,36.0,36.0,36.0
VTGN,2011-08-16,36.0,36.0,36.0,36.0
VTGN,2011-08-17,36.0,36.0,36.0,36.0
VTGN,2011-08-18,36.0,36.0,36.0,36.0
VTGN,2011-08-19,36.0,36.0,36.0,36.0
VTGN,2011-08-22,36.0,36.0,36.0,36.0
VTGN,2011-08-23,36.0,36.0,36.0,36.0
VTGN,2011-08-24,40.0,45.0,40.0,45.0
VTGN,2011-08-25,45.0,45.0,45.0,45.0
VTGN,2011-08-26,45.0,45.0,45.0,45.0
VTGN,2011-08-29,38.0,41.0,38.0,41.0
VTGN,2011-08-30,42.0,43.0,42.0,43.0
VTGN,2011-08-31,44.0,44.8,44.0,44.8
VTGN,2011-09-01,44.8,45.0,44.8,45.0
VTGN,2011-09-02,45.6,47.0,45.6,47.0
VTGN,2011-09-06,47.0,47.0,47.0,47.0
VTGN,2011-09-07,47.0,47.0,47.0,47.0
VTGN,2011-09-08,48.0,48.0,48.0,48.0
VTGN,2011-09-09,48.0,48.0,48.0,48.0
VTGN,2011-09-12,48.0,48.0,48.0,48.0
VTGN,2011-09-13,48.0,48.0,48.0,48.0
VTGN,2011-09-14,48.0,50.8,48.0,50.8
VTGN,2011-09-15,51.0,51.6,51.0,51.6
VTGN,2011-09-16,51.6,51.6,51.6,51.6
VTGN,2011-09-19,51.0,51.0,51.0,51.0
VTGN,2011-09-20,51.0,51.0,51.0,51.0
VTGN,2011-09-21,51.0,51.0,51.0,51.0
VTGN,2011-09-22,51.6,51.6,51.6,51.6
VTGN,2011-09-23,51.8,51.8,51.8,51.8
VTGN,2011-09-26,51.8,51.8,50.0,50.0
VTGN,2011-09-27,44.0,51.6,35.0,51.6
VTGN,2011-09-28,51.6,52.0,51.6,52.0
VTGN,2011-09-29,51.8,51.8,51.8,51.8
VTGN,2011-09-30,51.8,51.8,51.8,51.8
VTGN,2011-10-03,51.8,51.8,51.8,51.8
VTGN,2011-10-04,52.0,52.0,52.0,52.0
VTGN,2011-10-05,52.0,53.0,52.0,53.0
VTGN,2011-10-06,53.8,53.8,53.8,53.8
VTGN,2011-10-07,54.0,54.0,54.0,54.0
VTGN,2011-10-10,54.0,54.0,54.0,54.0
VTGN,2011-10-11,51.0,51.4,51.0,51.4
VTGN,2011-10-12,54.0,54.0,54.0,54.0
VTGN,2011-10-13,53.8,54.4,53.8,54.4
VTGN,2011-10-14,54.6,54.8,54.6,54.8
VTGN,2011-10-17,54.8,54.8,54.8,54.8
VTGN,2011-10-18,54.0,54.0,54.0,54.0
VTGN,2011-10-19,55.0,55.0,55.0,55.0
VTGN,2011-10-20,55.0,55.0,55.0,55.0
VTGN,2011-10-21,53.0,53.0,53.0,53.0
VTGN,2011-10-24,56.0,56.0,56.0,56.0
VTGN,2011-10-25,56.0,56.0,56.0,56.0
VTGN,2011-10-26,56.0,56.0,56.0,56.0
VTGN,2011-10-27,57.6,58.0,57.6,58.0
VTGN,2011-10-28,59.0,59.0,59.0,59.0
VTGN,2011-10-31,59.0,59.0,59.0,59.0
VTGN,2011-11-01,60.0,60.0,60.0,60.0
VTGN,2011-11-02,61.0,62.0,61.0,62.0
VTGN,2011-11-03,60.0,62.0,60.0,62.0
VTGN,2011-11-04,60.0,60.0,60.0,60.0
VTGN,2011-11-07,60.0,60.0,60.0,60.0
VTGN,2011-11-08,60.0,60.0,60.0,60.0
VTGN,2011-11-09,62.0,62.0,62.0,62.0
VTGN,2011-11-10,62.0,62.0,62.0,62.0
VTGN,2011-11-11,62.0,62.0,62.0,62.0
VTGN,2011-11-14,62.0,62.0,62.0,62.0
VTGN,2011-11-15,62.0,62.0,62.0,62.0
VTGN,2011-11-16,62.0,62.0,62.0,62.0
VTGN,2011-11-17,60.0,61.0,59.0,61.0
VTGN,2011-11-18,60.0,60.0,60.0,60.0
VTGN,2011-11-21,60.0,60.0,55.0,57.0
VTGN,2011-11-22,58.0,58.0,58.0,58.0
VTGN,2011-11-23,59.0,59.0,59.0,59.0
VTGN,2011-11-25,59.0,59.0,59.0,59.0
VTGN,2011-11-28,59.0,59.0,59.0,59.0
VTGN,2011-11-29,58.0,58.0,58.0,58.0
VTGN,2011-11-30,58.0,58.0,58.0,58.0
VTGN,2011-12-01,58.0,58.0,58.0,58.0
VTGN,2011-12-02,58.0,58.0,58.0,58.0
VTGN,2011-12-05,58.0,58.0,58.0,58.0
VTGN,2011-12-06,58.0,58.0,58.0,58.0
VTGN,2011-12-07,60.0,60.0,60.0,60.0
VTGN,2011-12-08,59.0,59.0,59.0,59.0
VTGN,2011-12-09,59.0,59.0,59.0,59.0
VTGN,2011-12-12,60.0,60.0,60.0,60.0
VTGN,2011-12-13,59.6,59.6,59.6,59.6
VTGN,2011-12-14,59.6,59.6,59.6,59.6
VTGN,2011-12-15,59.6,59.6,59.6,59.6
VTGN,2011-12-16,59.6,59.6,59.6,59.6
VTGN,2011-12-19,59.8,59.8,59.8,59.8
VTGN,2011-12-20,58.8,58.8,58.8,58.8
VTGN,2011-12-21,59.4,59.4,59.4,59.4
VTGN,2011-12-22,58.8,60.0,58.8,60.0
VTGN,2011-12-23,59.8,59.8,59.8,59.8
VTGN,2011-12-27,60.0,60.0,60.0,60.0
VTGN,2011-12-28,59.2,60.0,59.2,60.0
VTGN,2011-12-29,61.0,61.0,61.0,61.0
VTGN,2011-12-30,61.0,61.0,61.0,61.0
VTGN,2012-01-03,62.0,62.0,62.0,62.0
VTGN,2012-01-04,60.0,63.0,60.0,63.0
VTGN,2012-01-05,63.0,63.0,63.0,63.0
VTGN,2012-01-06,63.0,63.0,63.0,63.0
VTGN,2012-01-09,62.0,62.0,62.0,62.0
VTGN,2012-01-10,62.0,62.0,62.0,62.0
VTGN,2012-01-11,60.0,60.0,60.0,60.0
VTGN,2012-01-12,62.0,62.0,62.0,62.0
VTGN,2012-01-13,62.0,63.0,60.0,60.0
VTGN,2012-01-17,62.0,62.0,62.0,62.0
VTGN,2012-01-18,62.0,62.0,62.0,62.0
VTGN,2012-01-19,62.0,62.0,62.0,62.0
VTGN,2012-01-20,62.0,62.0,62.0,62.0
VTGN,2012-01-23,58.0,58.0,58.0,58.0
VTGN,2012-01-24,62.0,62.0,62.0,62.0
VTGN,2012-01-25,61.0,61.0,61.0,61.0
VTGN,2012-01-26,61.0,61.0,61.0,61.0
VTGN,2012-01-27,61.0,61.0,61.0,61.0
VTGN,2012-01-30,60.0,60.0,60.0,60.0
VTGN,2012-01-31,60.0,60.0,60.0,60.0
VTGN,2012-02-01,55.0,60.0,55.0,60.0
VTGN,2012-02-02,55.0,60.0,55.0,60.0
VTGN,2012-02-03,60.0,60.0,59.8,59.8
VTGN,2012-02-06,60.0,60.0,60.0,60.0
VTGN,2012-02-07,60.0,60.0,60.0,60.0
VTGN,2012-02-08,60.0,60.0,55.0,55.0
VTGN,2012-02-09,55.0,55.0,55.0,55.0
VTGN,2012-02-10,55.0,55.0,55.0,55.0
VTGN,2012-02-13,55.0,55.0,55.0,55.0
VTGN,2012-02-14,59.8,59.8,59.8,59.8
VTGN,2012-02-15,55.0,56.0,55.0,56.0
VTGN,2012-02-16,56.0,57.0,56.0,57.0
VTGN,2012-02-17,55.0,55.0,55.0,55.0
VTGN,2012-02-21,55.6,57.0,55.6,56.6
VTGN,2012-02-22,56.6,60.0,56.6,60.0
VTGN,2012-02-23,60.0,60.0,60.0,60.0
VTGN,2012-02-24,59.8,59.8,58.8,59.8
VTGN,2012-02-27,59.8,61.0,59.8,61.0
