ticker,date,open,high,low,close
WBUY,2023-10-19,7.75,11.11,5.34,5.34
WBUY,2023-10-20,4.42,4.5,2.9997,3.15
WBUY,2023-10-23,3.42,4.66,3.22,3.5
WBUY,2023-10-24,3.39,3.77,3.22,3.58
WBUY,2023-10-25,3.23,3.9,3.23,3.82
WBUY,2023-10-26,3.71,4.5999,3.71,4.13
WBUY,2023-10-27,4.48,4.9751,4.2001,4.94
WBUY,2023-10-30,5.04,5.6999,4.52,4.85
WBUY,2023-10-31,4.35,4.75,4.1,4.55
WBUY,2023-11-01,4.4,4.67,4.26,4.505
WBUY,2023-11-02,4.46,4.72,4.22,4.54
WBUY,2023-11-03,4.35,4.9,4.35,4.75
WBUY,2023-11-06,4.53,4.9399,4.53,4.71
WBUY,2023-11-07,4.71,5.3,4.71,5.065
WBUY,2023-11-08,5.28,5.4961,4.92,4.99
WBUY,2023-11-09,4.9,5.15,4.9,4.9
WBUY,2023-11-10,4.96,5.05,4.75,4.9
WBUY,2023-11-13,4.821,5.0,4.821,4.955
WBUY,2023-11-14,5.01,5.2,4.82,4.835
WBUY,2023-11-15,5.08,5.2,4.82,5.01
WBUY,2023-11-16,5.05,6.2,5.05,6.02
WBUY,2023-11-17,6.11,6.563,5.35,5.56
WBUY,2023-11-20,5.53,5.86,5.4,5.62
WBUY,2023-11-21,5.65,6.2,5.62,6.13
WBUY,2023-11-22,6.17,6.4,5.5,5.88
WBUY,2023-11-24,5.9,6.6099,5.86,6.26
WBUY,2023-11-27,6.31,6.3998,5.67,5.85
WBUY,2023-11-28,6.06,6.06,5.05,5.85
WBUY,2023-11-29,5.89,6.18,5.8,5.97
WBUY,2023-11-30,5.9855,6.04,5.82,5.84
WBUY,2023-12-01,5.9,5.99,5.6,5.91
WBUY,2023-12-04,5.85,6.0998,5.71,6.04
WBUY,2023-12-05,6.37,6.37,5.68,5.95
WBUY,2023-12-06,7.45,14.3,2.1,2.33
WBUY,2023-12-07,2.99,3.18,1.22,1.46
WBUY,2023-12-08,1.44,1.57,1.03,1.14
WBUY,2023-12-11,1.14,1.2699,1.03,1.11
WBUY,2023-12-12,1.14,1.14,0.608,0.66
WBUY,2023-12-13,0.68,0.7499,0.585,0.6051
WBUY,2023-12-14,0.645,0.7749,0.6116,0.7423
WBUY,2023-12-15,0.7024,0.749,0.62,0.6492
WBUY,2023-12-18,0.67,0.6989,0.62,0.6501
WBUY,2023-12-19,0.67,0.73,0.66,0.7012
WBUY,2023-12-20,0.696,0.719,0.6051,0.625
WBUY,2023-12-21,0.63,0.649999,0.6123,0.6213
WBUY,2023-12-22,0.629,0.635,0.6006,0.6062
WBUY,2023-12-26,0.636,0.6369,0.56,0.584
WBUY,2023-12-27,0.571,0.5793,0.46,0.491
WBUY,2023-12-28,0.5122,0.54,0.4801,0.5399
WBUY,2023-12-29,0.55,0.55,0.5021,0.5101
WBUY,2024-01-02,0.51,0.578,0.5064,0.5669
WBUY,2024-01-03,0.5659,0.5779,0.5318,0.55
WBUY,2024-01-04,0.55,0.598,0.54,0.546
WBUY,2024-01-05,0.546,0.5629,0.522,0.525
WBUY,2024-01-08,0.539,0.57,0.5251,0.526
WBUY,2024-01-09,0.521,0.525001,0.5051,0.517
WBUY,2024-01-10,0.52,0.5499,0.4775,0.5
WBUY,2024-01-11,0.519,0.519,0.47,0.5
WBUY,2024-01-12,0.5,0.501,0.48,0.4802
WBUY,2024-01-16,0.485,0.485,0.4234,0.4341
WBUY,2024-01-17,0.42,0.448,0.4151,0.434
WBUY,2024-01-18,0.447,0.447,0.3808,0.399
WBUY,2024-01-19,0.405,0.4101,0.37,0.38
WBUY,2024-01-22,0.38,0.4076,0.38,0.3951
WBUY,2024-01-23,0.3911,0.4499,0.3911,0.4499
WBUY,2024-01-24,0.4364,0.488,0.41505,0.460101
WBUY,2024-01-25,0.4468,0.5226,0.4468,0.467
WBUY,2024-01-26,0.5,0.5,0.395,0.4451
WBUY,2024-01-29,0.4411,0.49,0.4221,0.464
WBUY,2024-01-30,0.4501,0.467904,0.4221,0.4275
WBUY,2024-01-31,0.4337,0.4558,0.401,0.445
WBUY,2024-02-01,0.448,0.473,0.435,0.459
WBUY,2024-02-02,0.451,0.463,0.433,0.448999
WBUY,2024-02-05,0.439,0.449999,0.42,0.449
WBUY,2024-02-06,0.443,0.468,0.43,0.4536
WBUY,2024-02-07,0.45,0.458,0.431,0.4465
WBUY,2024-02-08,0.449899,0.555,0.4451,0.555
WBUY,2024-02-09,0.51,0.5401,0.4806,0.495
WBUY,2024-02-12,0.4901,0.5199,0.49,0.4905
WBUY,2024-02-13,0.627,0.8183,0.512,0.5999
WBUY,2024-02-14,0.5,0.555,0.4905,0.5509
WBUY,2024-02-15,0.506,0.58,0.4855,0.5625
WBUY,2024-02-16,0.5365,0.55,0.471,0.4722
WBUY,2024-02-20,0.49,0.51889,0.46,0.479
WBUY,2024-02-21,0.478,0.478,0.43,0.4315
WBUY,2024-02-22,0.4332,0.46,0.43,0.4383
WBUY,2024-02-23,0.438,0.4449,0.4018,0.413
WBUY,2024-02-26,0.417,0.419,0.4019,0.41
WBUY,2024-02-27,0.4111,0.43,0.4021,0.42
WBUY,2024-02-28,0.4074,0.4198,0.4018,0.403821
WBUY,2024-02-29,0.42,0.42,0.402,0.407
WBUY,2024-03-01,0.408,0.415,0.39,0.407
WBUY,2024-03-04,0.4,0.42,0.3911,0.402
WBUY,2024-03-05,0.3977,0.41,0.38,0.3947
WBUY,2024-03-06,0.3829,0.404,0.3829,0.3888
