ticker,date,open,high,low,close
WGRX,2025-02-21,4.35,4.38,3.3001,3.81
WGRX,2025-02-24,3.5,3.85,3.09,3.109
WGRX,2025-02-25,3.16,3.3,2.32,2.73
WGRX,2025-02-26,2.815,2.95,2.35,2.76
WGRX,2025-02-27,2.7,3.07,2.51,3.02
WGRX,2025-02-28,2.905,2.95,2.7,2.7
WGRX,2025-03-03,2.9,3.05,2.58,2.7
WGRX,2025-03-04,2.78,2.78,2.78,2.78
WGRX,2025-03-05,2.57,2.97,2.57,2.9
WGRX,2025-03-06,2.8,2.98,2.7,2.9
WGRX,2025-03-07,2.9871,2.9871,2.63,2.94
WGRX,2025-03-10,2.8,2.9435,2.66,2.66
WGRX,2025-03-11,2.7,2.7,2.4,2.63
WGRX,2025-03-12,2.4,2.98,2.4,2.89
WGRX,2025-03-13,2.74,3.0,2.5,2.67
WGRX,2025-03-14,2.75,2.96,2.75,2.925
WGRX,2025-03-17,2.81,3.63,2.8,3.49
WGRX,2025-03-18,3.5,4.21,3.19,4.0
WGRX,2025-03-19,4.025,4.17,3.45,3.98
WGRX,2025-03-20,4.17,4.75,3.64,4.735
WGRX,2025-03-21,5.16,5.69,4.2,4.96
WGRX,2025-03-24,5.34,5.34,3.91,3.95
WGRX,2025-03-25,3.73,4.35,3.73,4.19
WGRX,2025-03-26,4.07,4.5,3.88,3.95
WGRX,2025-03-27,4.0,4.3106,3.771,3.87
WGRX,2025-03-28,3.63,4.0907,3.54,3.82
WGRX,2025-03-31,3.72,4.48,3.55,4.42
WGRX,2025-04-01,4.19,4.57,4.0,4.57
WGRX,2025-04-02,4.61,4.8,4.1,4.56
WGRX,2025-04-03,4.21,4.57,4.2,4.39
WGRX,2025-04-04,4.42,4.42,4.11,4.11
WGRX,2025-04-07,4.3,4.4938,3.89,4.1202
WGRX,2025-04-08,4.53,4.53,3.68,3.85
WGRX,2025-04-09,4.21,4.36,3.71,4.23
WGRX,2025-04-10,3.797,3.797,3.68,3.797
WGRX,2025-04-11,2.89,2.89,2.75,2.89
WGRX,2025-04-14,3.09,4.14,2.99,3.83
WGRX,2025-04-15,3.67,3.96,3.61,3.94
WGRX,2025-04-16,3.81,4.2,3.56,3.67
WGRX,2025-04-17,3.71,3.95,3.09,3.29
WGRX,2025-04-21,3.275,3.45,3.0701,3.1
WGRX,2025-04-22,3.15,3.525,3.15,3.495
WGRX,2025-04-23,3.71,4.1999,3.5238,4.03
WGRX,2025-04-24,4.18,4.27,3.87,4.27
WGRX,2025-04-25,4.01,4.23,3.84,3.95
WGRX,2025-04-28,4.12,4.3519,3.63,3.94
WGRX,2025-04-29,3.85,4.02,3.65,4.02
WGRX,2025-04-30,4.0,4.4,3.255,4.34
WGRX,2025-05-01,4.25,4.48,4.06,4.3
WGRX,2025-05-02,4.26,4.58,4.0597,4.46
WGRX,2025-05-05,4.43,4.6348,4.31,4.57
WGRX,2025-05-06,4.57,4.57,4.54,4.54
WGRX,2025-05-07,4.37,4.6232,4.12,4.32
WGRX,2025-05-08,6.6,7.04,2.84,3.0
WGRX,2025-05-09,2.85,2.85,2.3,2.71
WGRX,2025-05-12,2.86,2.93,2.4561,2.56
WGRX,2025-05-13,2.62,2.665,2.08,2.1
WGRX,2025-05-14,2.12,2.1471,1.41,1.79
WGRX,2025-05-15,1.87,2.6,1.87,2.33
WGRX,2025-05-16,2.39,2.43,2.21,2.36
WGRX,2025-05-19,2.3,2.75,2.2921,2.68
WGRX,2025-05-20,3.0,3.0,2.6,2.66
WGRX,2025-05-21,2.62,2.66,2.199,2.26
WGRX,2025-05-22,2.31,2.5,2.3,2.48
WGRX,2025-05-23,2.47,2.5,2.36,2.36
WGRX,2025-05-27,2.4,2.5,2.35,2.5
WGRX,2025-05-28,2.55,2.55,2.29,2.32
WGRX,2025-05-29,2.42,2.56,2.32,2.33
WGRX,2025-05-30,2.34,2.37,2.0,2.01
WGRX,2025-06-02,2.05,2.05,1.77,1.88
WGRX,2025-06-03,1.92,2.01,1.85,1.87
WGRX,2025-06-04,1.93,2.0717,1.92,1.96
WGRX,2025-06-05,2.02,2.0948,1.71,1.75
WGRX,2025-06-06,1.78,1.9,1.42,1.69
WGRX,2025-06-09,1.7,1.82,1.7,1.76
WGRX,2025-06-10,1.73,1.735,1.42,1.42
WGRX,2025-06-11,1.4,1.56,1.4,1.42
WGRX,2025-06-12,1.42,1.4997,1.35,1.41
WGRX,2025-06-13,1.48,1.48,1.3,1.33
WGRX,2025-06-16,1.33,1.45,1.33,1.38
WGRX,2025-06-17,1.4,1.4142,1.28,1.31
WGRX,2025-06-18,1.33,1.38,1.17,1.22
WGRX,2025-06-20,1.23,1.2843,1.2,1.2
WGRX,2025-06-23,1.2,1.24,1.03,1.07
WGRX,2025-06-24,1.07,1.0995,0.972,1.01
WGRX,2025-06-25,1.0,1.025,0.9,0.92
WGRX,2025-06-26,0.9311,1.19,0.9301,1.11
WGRX,2025-06-27,1.2,1.26,1.01,1.01
WGRX,2025-06-30,1.05,1.08,0.96,0.9649
WGRX,2025-07-01,0.94,0.96,0.8687,0.8997
WGRX,2025-07-02,0.93,0.999,0.8997,0.928
WGRX,2025-07-03,0.92,0.9747,0.8801,0.91
WGRX,2025-07-07,0.9477,0.953,0.92,0.94
WGRX,2025-07-08,0.9388,0.9453,0.82,0.8842
WGRX,2025-07-09,0.91,0.915,0.84,0.8611
WGRX,2025-07-10,0.8939,1.01,0.85,1.0
WGRX,2025-07-11,0.912,0.912,0.86,0.912
WGRX,2025-07-14,0.912,0.979,0.852,0.8612
WGRX,2025-07-15,0.86,0.890549,0.7514,0.809
WGRX,2025-07-16,0.8,0.85,0.782,0.8496
WGRX,2025-07-17,0.869,0.98,0.85,0.92
WGRX,2025-07-18,1.0,1.74,0.938,1.01
WGRX,2025-07-21,1.11,1.2704,1.02,1.18
WGRX,2025-07-22,1.14,1.16,1.0,1.03
WGRX,2025-07-23,1.06,1.1397,1.03,1.06
WGRX,2025-07-24,1.07,1.07,0.91,0.95
WGRX,2025-07-25,0.91,0.94499,0.89,0.94
WGRX,2025-07-28,0.9919,1.05,0.95,0.9899
WGRX,2025-07-29,0.9302,0.9746,0.8497,0.8691
WGRX,2025-07-30,0.91,0.94,0.86,0.9056
WGRX,2025-07-31,0.89,0.909999,0.836,0.8764
WGRX,2025-08-01,0.87,0.87,0.77,0.82925
WGRX,2025-08-04,0.84,0.88,0.7661,0.8216
WGRX,2025-08-05,0.84,0.875,0.7875,0.8106
WGRX,2025-08-06,0.8,0.8399,0.8,0.8101
WGRX,2025-08-07,0.8114,0.8175,0.7054,0.7585
WGRX,2025-08-08,0.8,0.804,0.7778,0.8
WGRX,2025-08-11,0.8,0.81,0.713,0.7185
WGRX,2025-08-12,0.705,0.7408,0.7,0.707
WGRX,2025-08-13,0.7228,0.75,0.67,0.699
WGRX,2025-08-14,0.68,0.699999,0.65,0.668
WGRX,2025-08-15,0.652,0.675,0.615,0.6211
WGRX,2025-08-18,0.733,1.1,0.681501,0.75
WGRX,2025-08-19,0.7344,0.888,0.7344,0.8704
WGRX,2025-08-20,0.85,0.91,0.790101,0.821
WGRX,2025-08-21,0.84,0.98,0.7565,0.7565
WGRX,2025-08-22,0.7795,0.947,0.7795,0.945
WGRX,2025-08-25,0.9167,1.79,0.8701,1.64
WGRX,2025-08-26,1.53,1.95,1.53,1.73
WGRX,2025-08-27,1.71,1.89,1.5,1.55
WGRX,2025-08-28,1.5,1.62,1.265,1.34
WGRX,2025-08-29,1.29,1.3785,1.11,1.23
WGRX,2025-09-02,1.21,1.5095,1.1904,1.4
WGRX,2025-09-03,1.43,1.55,1.34,1.4459
WGRX,2025-09-04,1.46,1.47,1.27,1.37
WGRX,2025-09-05,1.36,1.42,1.18,1.32
WGRX,2025-09-08,1.36,1.6,1.36,1.59
WGRX,2025-09-09,1.65,1.69,1.47,1.67
