ticker,date,open,high,low,close
XNET,2014-06-24,14.21,15.55,14.2,14.9
XNET,2014-06-25,15.13,16.18,15.0,15.26
XNET,2014-06-26,15.15,15.87,14.91,15.14
XNET,2014-06-27,15.25,15.45,14.9,15.09
XNET,2014-06-30,15.2,15.3,14.9,14.97
XNET,2014-07-01,14.95,15.08,14.49,14.58
XNET,2014-07-02,14.85,15.1,14.5,14.69
XNET,2014-07-03,14.74,14.86,14.51,14.55
XNET,2014-07-07,14.5,14.79,14.213,14.33
XNET,2014-07-08,14.35,14.45,13.52,13.79
XNET,2014-07-09,13.53,13.75,13.24,13.5
XNET,2014-07-10,13.4,14.54,12.8,14.25
XNET,2014-07-11,14.27,14.28,13.8,13.82
XNET,2014-07-14,13.7,14.02,13.7,13.77
XNET,2014-07-15,13.8,13.98,13.6,13.65
XNET,2014-07-16,13.72,13.72,13.18,13.22
XNET,2014-07-17,13.3,13.4,13.0,13.02
XNET,2014-07-18,13.05,13.06,12.5,12.95
XNET,2014-07-21,12.73,12.73,12.04,12.28
XNET,2014-07-22,12.25,12.72,12.11,12.25
XNET,2014-07-23,12.25,12.72,12.25,12.59
XNET,2014-07-24,12.16,12.85,12.16,12.7
XNET,2014-07-25,12.75,12.85,12.53,12.75
XNET,2014-07-28,12.84,12.84,12.36,12.5
XNET,2014-07-29,12.41,12.8,12.41,12.58
XNET,2014-07-30,12.55,12.72,12.41,12.42
XNET,2014-07-31,12.4,12.45,12.0,12.01
XNET,2014-08-01,12.03,12.7,12.0,12.69
XNET,2014-08-04,12.77,13.17,12.5,13.03
XNET,2014-08-05,12.74,13.1,12.6,12.81
XNET,2014-08-06,12.7,12.867,12.6,12.77
XNET,2014-08-07,12.68,13.5,12.66,13.3
XNET,2014-08-08,13.14,13.65,13.1,13.23
XNET,2014-08-11,13.38,13.401,12.88,12.95
XNET,2014-08-12,13.02,13.05,12.81,12.9
XNET,2014-08-13,12.88,13.05,12.57,12.62
XNET,2014-08-14,12.62,12.789,12.25,12.26
XNET,2014-08-15,12.47,12.47,12.1,12.11
XNET,2014-08-18,12.363,12.4,12.01,12.03
XNET,2014-08-19,12.08,12.234,11.13,11.36
XNET,2014-08-20,11.2,11.26,9.96,10.39
XNET,2014-08-21,10.5,11.95,10.42,11.83
XNET,2014-08-22,11.81,12.0,11.32,11.87
XNET,2014-08-25,11.94,11.94,11.34,11.39
XNET,2014-08-26,11.3,11.405,10.882,11.06
XNET,2014-08-27,11.0,11.13,10.7,10.87
XNET,2014-08-28,10.8,11.47,10.769,11.2
XNET,2014-08-29,11.19,11.33,11.11,11.23
XNET,2014-09-02,11.06,11.48,11.0,11.48
XNET,2014-09-03,11.5,11.68,11.11,11.48
XNET,2014-09-04,11.54,12.69,11.38,12.08
XNET,2014-09-05,12.1,13.33,12.1,13.33
XNET,2014-09-08,13.08,14.31,12.88,13.85
XNET,2014-09-09,13.84,14.2,13.11,13.88
XNET,2014-09-10,13.85,13.85,13.16,13.35
XNET,2014-09-11,13.35,13.35,13.03,13.15
XNET,2014-09-12,13.37,13.4,12.65,12.8
XNET,2014-09-15,12.9,13.1,12.1,12.25
XNET,2014-09-16,12.2,12.25,11.62,12.06
XNET,2014-09-17,12.0,12.41,11.8,11.8
XNET,2014-09-18,11.9,12.05,11.15,11.5
XNET,2014-09-19,11.45,11.77,11.25,11.51
XNET,2014-09-22,11.5,11.5,10.8,11.14
XNET,2014-09-23,11.12,11.3,11.01,11.16
XNET,2014-09-24,11.13,11.46,11.0,11.3
XNET,2014-09-25,11.3,11.43,10.73,10.92
XNET,2014-09-26,11.0,11.16,10.5,10.5
XNET,2014-09-29,10.5,11.08,10.4,11.01
XNET,2014-09-30,10.99,11.12,10.71,10.75
XNET,2014-10-01,10.75,10.78,10.51,10.68
XNET,2014-10-02,10.82,11.067,10.52,10.92
XNET,2014-10-03,10.99,11.43,10.9,11.24
XNET,2014-10-06,11.43,11.57,10.8,11.17
XNET,2014-10-07,11.0,11.0,10.65,10.74
XNET,2014-10-08,10.69,10.87,10.4,10.74
XNET,2014-10-09,10.71,10.82,10.51,10.554
XNET,2014-10-10,10.51,10.53,10.05,10.16
XNET,2014-10-13,10.11,10.21,9.83,9.89
XNET,2014-10-14,10.14,10.27,9.92,10.01
XNET,2014-10-15,9.97,10.2,9.88,10.155
XNET,2014-10-16,9.96,10.3,9.89,10.28
XNET,2014-10-17,10.3,10.36,10.026,10.05
XNET,2014-10-20,10.02,10.16,9.95,9.98
XNET,2014-10-21,10.0,10.59,10.0,10.56
XNET,2014-10-22,10.5,10.55,10.22,10.44
XNET,2014-10-23,10.42,10.5,9.98,9.98
XNET,2014-10-24,10.0,10.197,9.52,9.77
XNET,2014-10-27,9.77,9.77,8.774,9.01
XNET,2014-10-28,9.09,9.37,9.0,9.34
XNET,2014-10-29,9.38,9.38,9.01,9.03
XNET,2014-10-30,9.08,9.09,8.8,8.84
XNET,2014-10-31,8.9,9.29,8.8,9.0
XNET,2014-11-03,9.15,9.3,9.02,9.22
XNET,2014-11-04,9.15,10.0,9.15,9.82
XNET,2014-11-05,9.81,10.13,9.47,9.62
XNET,2014-11-06,9.57,9.635,9.42,9.53
XNET,2014-11-07,9.66,9.82,9.48,9.65
XNET,2014-11-10,9.8,9.98,9.66,9.87
XNET,2014-11-11,9.86,9.98,9.5,9.7
XNET,2014-11-12,9.7,9.86,9.68,9.8
XNET,2014-11-13,9.76,9.796,9.56,9.65
XNET,2014-11-14,9.68,10.288,9.64,10.14
XNET,2014-11-17,10.08,10.66,10.08,10.39
XNET,2014-11-18,10.36,10.72,10.265,10.48
XNET,2014-11-19,10.42,10.99,10.29,10.77
XNET,2014-11-20,10.682,10.9,9.81,9.93
XNET,2014-11-21,9.99,10.6,9.57,9.72
XNET,2014-11-24,9.85,9.892,9.25,9.54
XNET,2014-11-25,9.54,9.54,9.21,9.24
XNET,2014-11-26,9.15,9.15,8.425,8.59
XNET,2014-11-28,8.6,8.73,8.28,8.67
XNET,2014-12-01,8.62,8.83,8.38,8.55
XNET,2014-12-02,8.51,8.8,8.5001,8.57
XNET,2014-12-03,8.61,8.84,8.4001,8.73
