ticker,date,open,high,low,close
ZOOZ,2024-04-05,3.58,4.6,3.1,4.1
ZOOZ,2024-04-08,3.58,4.0,3.58,3.64
ZOOZ,2024-04-09,3.43,3.62,2.82,3.29
ZOOZ,2024-04-10,3.09,3.51,2.82,2.89
ZOOZ,2024-04-11,3.01,3.34,2.88,3.26
ZOOZ,2024-04-12,3.13,3.2356,3.0233,3.15
ZOOZ,2024-04-15,3.0,3.25,2.98,3.04
ZOOZ,2024-04-16,2.96,3.14,2.96,2.98
ZOOZ,2024-04-17,2.98,3.2199,2.97,3.05
ZOOZ,2024-04-18,2.98,3.08,2.9,2.9
ZOOZ,2024-04-19,3.0,3.025,2.96,2.96
ZOOZ,2024-04-22,2.99,3.0,2.9,2.975
ZOOZ,2024-04-23,2.8311,3.04,2.8311,2.99
ZOOZ,2024-04-24,3.0,3.0,2.9,2.97
ZOOZ,2024-04-25,2.92,2.96,2.64,2.82
ZOOZ,2024-04-26,2.8212,3.0001,2.8212,2.86
ZOOZ,2024-04-29,2.86,2.86,2.67,2.7723
ZOOZ,2024-04-30,2.77,2.97,2.77,2.93
ZOOZ,2024-05-01,2.91,3.0288,2.83,2.88
ZOOZ,2024-05-02,3.0,3.34,2.965,3.07
ZOOZ,2024-05-03,3.1,3.26,3.05,3.25
ZOOZ,2024-05-06,3.3994,3.4203,3.22,3.3423
ZOOZ,2024-05-07,3.29,3.29,3.0,3.13
ZOOZ,2024-05-08,3.1,3.1,2.81,2.92
ZOOZ,2024-05-09,2.91,3.0,2.8875,2.91
ZOOZ,2024-05-10,2.86,2.87,2.65,2.71
ZOOZ,2024-05-13,2.72,2.848,2.62,2.7
ZOOZ,2024-05-14,2.77,2.8693,2.675,2.73
ZOOZ,2024-05-15,2.72,2.72,2.49,2.6
ZOOZ,2024-05-16,2.49,2.72,2.15,2.27
ZOOZ,2024-05-17,2.5004,2.64,2.365,2.44
ZOOZ,2024-05-20,2.5339,2.58,2.3,2.32
ZOOZ,2024-05-21,2.3,2.4616,2.19,2.23
ZOOZ,2024-05-22,2.22,2.6699,2.13,2.41
ZOOZ,2024-05-23,2.32,2.49,2.1701,2.44
ZOOZ,2024-05-24,2.53,2.53,2.02,2.26
ZOOZ,2024-05-28,2.17,2.48,2.15,2.34
ZOOZ,2024-05-29,2.4,3.06,2.39,2.85
ZOOZ,2024-05-30,2.74,2.74,2.5501,2.61
ZOOZ,2024-05-31,2.775,2.833,2.6,2.61
ZOOZ,2024-06-03,2.72,2.8,2.65,2.68
ZOOZ,2024-06-04,2.7,2.7,2.46,2.46
ZOOZ,2024-06-05,2.44,2.65,2.2,2.21
ZOOZ,2024-06-06,2.17,2.3155,2.09,2.2
ZOOZ,2024-06-07,2.14,2.26,2.11,2.26
ZOOZ,2024-06-10,2.29,2.29,2.1517,2.25
ZOOZ,2024-06-11,2.15,2.37,2.03,2.2
ZOOZ,2024-06-12,2.16,2.781,2.16,2.28
ZOOZ,2024-06-13,2.18,2.3,2.1,2.12
ZOOZ,2024-06-14,2.11,2.25,2.11,2.12
ZOOZ,2024-06-17,2.155,2.155,1.81,1.97
ZOOZ,2024-06-18,1.94,2.3,1.785,2.11
ZOOZ,2024-06-20,2.14,2.35,1.9,2.1
