Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,JNJ,sideways,-0.03,52.5,-0.0158,227873.89,15.0,-0.0045,291091.35,50.0,-0.015,232088.39,40.0,-0.012,248946.38,-0.03,249925.0,Cooperator
2,2025-07-09,JNJ,sideways,0.31,52.5,0.1628,251044.7,15.0,0.0465,259418.25,55.0,0.1705,258944.57,21.25,0.0659,230592.47,0.31,250699.77,Defector
3,2025-07-03,JNJ,sideways,0.37,52.55,0.1944,261477.16,15.0,0.0555,215555.71,55.0,0.2035,273263.67,59.92,0.2217,249703.46,0.37,251627.36,Defector
4,2025-06-30,JNJ,sideways,0.39,64.78,0.2526,287640.42,50.0,0.195,185312.78,55.0,0.2145,257145.78,63.6,0.248,269901.02,0.39,252608.7,Signal Follower
5,2025-06-25,JNJ,sideways,0.59,53.96,0.3184,308586.7,50.0,0.295,182778.88,55.0,0.3245,281681.04,43.33,0.2557,226953.38,0.59,254099.09,Signal Follower
6,2025-06-20,JNJ,sideways,-0.97,64.78,-0.6284,284487.33,50.0,-0.485,209240.63,55.0,-0.5335,301222.1,66.0,-0.6402,205049.95,-0.97,251634.33,Cooperator
7,2025-06-16,JNJ,sideways,-0.77,52.55,-0.4046,272719.21,50.0,-0.385,210948.84,55.0,-0.4235,274430.2,41.17,-0.317,241901.75,-0.77,249696.75,Tit-for-Tat
8,2025-06-11,JNJ,sideways,-0.67,52.36,-0.3508,260284.85,50.0,-0.335,212873.24,55.0,-0.3685,245178.79,43.29,-0.2901,281663.11,-0.67,248023.78,Tit-for-Tat
9,2025-06-06,JNJ,sideways,0.67,46.89,0.3142,264577.72,35.0,0.2345,181021.01,55.0,0.3685,276984.19,44.63,0.299,277417.08,0.67,249685.54,Defector
10,2025-06-03,JNJ,sideways,-0.25,54.3,-0.1358,271799.46,50.0,-0.125,208717.36,55.0,-0.1375,278905.87,59.78,-0.1495,240577.31,-0.25,249061.33,Cooperator
11,2025-05-29,JNJ,sideways,1.21,50.08,0.6059,275467.57,50.0,0.605,211205.01,55.0,0.6655,311402.85,41.75,0.5052,201924.57,1.21,252074.97,Defector
12,2025-05-23,JNJ,sideways,-0.04,52.5,-0.021,278132.77,70.0,-0.028,179688.95,40.0,-0.016,349758.94,58.75,-0.0235,192419.34,-0.04,251974.14,Tit-for-Tat
13,2025-05-20,JNJ,sideways,0.87,50.43,0.4387,251053.62,50.0,0.435,159241.83,55.0,0.4785,376950.87,55.73,0.4848,212753.68,0.87,254166.31,Defector
14,2025-05-15,JNJ,sideways,1.09,52.55,0.5728,230804.09,70.0,0.763,188931.44,55.0,0.5995,360681.63,59.92,0.6531,219582.83,1.09,256936.73,Defector
15,2025-05-12,JNJ,sideways,1.39,50.43,0.701,225925.76,70.0,0.973,218473.29,40.0,0.556,318943.18,61.33,0.8525,236657.77,1.39,260508.15,Defector
16,2025-05-07,JNJ,bull,1.65,52.55,0.8671,221754.9,70.0,1.155,249041.44,40.0,0.66,276724.54,61.95,1.0222,252479.12,1.65,264806.53,Cooperator
17,2025-05-02,JNJ,bull,0.03,52.5,0.0158,214986.13,70.0,0.021,280292.16,40.0,0.012,237441.36,62.5,0.0187,267280.35,0.03,264885.97,Cooperator
18,2025-04-29,JNJ,bull,0.3,52.5,0.1575,188963.07,70.0,0.21,315625.7,55.0,0.165,217082.05,64.0,0.192,278329.18,0.3,265680.63,Cooperator
19,2025-04-24,JNJ,bull,-0.56,52.55,-0.2943,214807.36,70.0,-0.392,282230.34,55.0,-0.308,239379.43,66.2,-0.3707,263582.87,-0.56,264192.82,Signal Follower
20,2025-04-21,JNJ,bull,-0.66,52.5,-0.3465,202035.73,50.0,-0.33,277781.54,55.0,-0.363,214687.58,40.0,-0.264,305495.14,-0.66,262449.15,Tit-for-Tat
21,2025-04-15,JNJ,sideways,-1.34,67.12,-0.8994,168839.65,50.0,-0.67,285017.48,55.0,-0.737,208342.76,42.83,-0.574,337800.11,-1.34,258932.33,Defector
22,2025-04-10,JNJ,sideways,-1.12,52.55,-0.5886,171867.39,35.0,-0.392,327683.66,70.0,-0.784,184784.01,63.67,-0.7131,315664.95,-1.12,256032.29,Signal Follower
23,2025-04-07,JNJ,sideways,-0.44,52.55,-0.2312,165305.16,35.0,-0.154,358956.42,70.0,-0.308,153179.57,44.67,-0.1965,322558.85,-0.44,254905.74,Signal Follower
24,2025-04-02,JNJ,sideways,0.88,52.55,0.4624,183869.84,35.0,0.308,315713.94,55.0,0.484,175359.52,44.67,0.3931,325056.69,0.88,257148.91,Tit-for-Tat
25,2025-03-28,JNJ,sideways,0.07,64.78,0.0453,218202.07,50.0,0.035,301049.25,55.0,0.0385,181047.61,48.0,0.0336,299701.07,0.07,257328.92,Cooperator
26,2025-03-25,JNJ,bear,-1.53,64.78,-0.9911,200803.83,50.0,-0.765,340919.21,55.0,-0.8415,192029.02,67.0,-1.0251,266247.94,-1.53,253391.79,Defector
27,2025-03-20,JNJ,bear,0.01,50.43,0.005,183808.45,50.0,0.005,310362.44,70.0,0.007,219531.35,64.17,0.0064,286297.75,0.01,253417.13,Tit-for-Tat
28,2025-03-17,JNJ,bear,0.26,50.43,0.1311,167453.01,50.0,0.13,279410.19,55.0,0.143,225143.48,59.79,0.1555,327993.32,0.26,254076.01,Tit-for-Tat
