Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,JPM,sideways,0.57,68.5,0.3904,280025.07,18.78,0.1071,210581.11,50.0,0.285,254184.74,50.73,0.2892,255209.07,0.57,251425.0,Signal Follower
2,2025-07-09,JPM,sideways,-1.4,46.89,-0.6565,273588.19,17.5,-0.245,248387.11,55.0,-0.77,234144.63,50.0,-0.7,243880.06,-1.4,247905.05,Cooperator
3,2025-07-03,JPM,sideways,1.32,50.43,0.6657,286859.85,15.0,0.198,219663.88,70.0,0.924,266734.26,24.79,0.3272,226742.01,1.32,251177.4,Defector
4,2025-06-30,JPM,sideways,-0.17,50.43,-0.0857,284444.11,50.0,-0.085,219111.94,40.0,-0.068,302807.56,60.42,-0.1027,193636.4,-0.17,250750.4,Defector
5,2025-06-25,JPM,sideways,0.91,52.5,0.4778,271220.96,50.0,0.455,198472.56,55.0,0.5005,303177.05,64.0,0.5824,227129.43,0.91,253032.22,Defector
6,2025-06-20,JPM,sideways,-0.21,52.5,-0.1102,295842.79,70.0,-0.147,165786.05,55.0,-0.1155,319635.16,61.25,-0.1286,218736.0,-0.21,252500.86,Cooperator
7,2025-06-16,JPM,sideways,1.26,52.5,0.6615,307886.41,50.0,0.63,165353.97,55.0,0.693,346492.63,40.0,0.504,180266.99,1.26,255682.37,Defector
8,2025-06-11,JPM,sideways,-0.2,67.12,-0.1342,282447.79,70.0,-0.14,147720.95,40.0,-0.08,396146.74,61.58,-0.1232,173684.52,-0.2,255171.0,Tit-for-Tat
9,2025-06-06,JPM,sideways,0.53,52.5,0.2782,267700.24,50.0,0.265,124722.87,55.0,0.2915,416452.92,56.19,0.2978,191123.96,0.53,256523.41,Defector
10,2025-06-03,JPM,bull,0.96,52.5,0.504,249449.32,70.0,0.672,149899.07,55.0,0.528,404125.73,58.75,0.564,196525.88,0.96,258986.03,Defector
11,2025-05-29,JPM,sideways,-0.16,52.5,-0.084,263771.64,50.0,-0.08,168705.35,55.0,-0.088,399830.61,60.0,-0.096,167692.4,-0.16,258571.66,Cooperator
12,2025-05-23,JPM,bull,1.52,50.43,0.7665,262249.09,50.0,0.76,166270.68,55.0,0.836,434419.27,41.67,0.6333,137060.96,1.52,262501.94,Defector
13,2025-05-20,JPM,bull,1.2,64.78,0.7773,286225.05,70.0,0.84,189325.45,40.0,0.48,376753.57,63.25,0.759,147695.94,1.2,265651.97,Defector
14,2025-05-15,JPM,bull,0.19,52.5,0.0997,287003.38,70.0,0.133,221068.75,40.0,0.076,333389.51,60.0,0.114,158538.36,0.19,266156.71,Defector
15,2025-05-12,JPM,bull,-1.08,52.5,-0.567,312468.57,70.0,-0.756,184313.22,55.0,-0.594,350825.99,61.25,-0.6615,152392.22,-1.08,263282.21,Tit-for-Tat
16,2025-05-07,JPM,bull,-0.18,52.5,-0.0945,338051.09,50.0,-0.09,205485.62,70.0,-0.126,298509.09,55.94,-0.1007,157954.2,-0.18,262808.31,Tit-for-Tat
17,2025-05-02,JPM,bull,0.5,52.5,0.2625,332919.16,50.0,0.25,173699.61,55.0,0.275,335621.36,52.75,0.2638,157759.87,0.5,264122.35,Signal Follower
18,2025-04-29,JPM,bull,1.0,52.5,0.525,341838.25,50.0,0.5,170929.81,55.0,0.55,358956.12,40.0,0.4,128275.83,1.0,266763.57,Defector
19,2025-04-24,JPM,bull,2.04,52.5,1.071,328267.07,50.0,1.02,150804.3,55.0,1.122,372718.56,58.75,1.1985,148210.06,2.04,272205.55,Defector
20,2025-04-21,JPM,bull,-0.71,67.12,-0.4765,304663.72,80.0,-0.568,132286.51,15.0,-0.1065,422656.28,62.27,-0.4421,140393.49,-0.71,270272.89,Defector
21,2025-04-15,JPM,bull,-1.26,50.43,-0.6354,329369.09,70.0,-0.882,112036.16,55.0,-0.693,433813.24,66.5,-0.8379,124781.51,-1.26,266867.45,Cooperator
22,2025-04-10,JPM,sideways,-1.26,53.96,-0.68,345367.85,50.0,-0.63,121904.94,70.0,-0.882,385554.29,40.83,-0.5145,147172.92,-1.26,263504.92,Tit-for-Tat
23,2025-04-07,JPM,bull,4.21,62.45,2.6293,352295.55,35.0,1.4735,101015.4,70.0,2.947,413576.01,45.88,1.9313,133113.04,4.21,274598.48,Defector
24,2025-04-02,JPM,bull,1.75,52.5,0.9188,366921.19,80.0,1.4,120064.07,25.0,0.4375,369926.58,58.75,1.0281,143088.16,1.75,279403.95,Signal Follower
25,2025-03-28,JPM,bull,-1.66,53.96,-0.8958,360955.87,85.0,-1.411,97650.99,40.0,-0.664,392278.31,43.33,-0.7193,149114.82,-1.66,274765.85,Tit-for-Tat
26,2025-03-25,JPM,bull,0.73,52.5,0.3832,339428.7,70.0,0.511,106216.93,70.0,0.511,426688.92,42.5,0.3102,127665.45,0.73,276771.64,Defector
27,2025-03-20,JPM,bull,1.04,64.78,0.6737,372439.55,50.0,0.52,90834.71,55.0,0.572,399841.37,63.25,0.6578,136884.37,1.04,279650.06,Defector
28,2025-03-17,JPM,bull,1.19,64.78,0.7709,414473.0,50.0,0.595,87809.51,40.0,0.476,346980.35,63.6,0.7568,150737.13,1.19,282977.9,Signal Follower
29,2025-03-12,JPM,sideways,-2.61,62.45,-1.63,393729.46,70.0,-1.827,78079.85,40.0,-1.044,392335.58,68.5,-1.7878,135855.11,-2.61,275592.17,Cooperator
30,2025-03-07,JPM,sideways,-1.2,64.78,-0.7773,401267.59,40.0,-0.48,90994.07,85.0,-1.02,353021.47,44.5,-0.534,154716.87,-1.2,272285.07,Cooperator
31,2025-03-04,JPM,sideways,-1.97,62.45,-1.2303,393232.63,35.0,-0.6895,107991.33,70.0,-1.379,325881.97,44.2,-0.8707,172894.07,-1.97,266921.05,Cooperator
32,2025-02-27,JPM,sideways,-0.43,64.78,-0.2785,377630.14,20.0,-0.086,128668.82,70.0,-0.301,304168.73,38.45,-0.1653,189532.31,-0.43,265773.29,Cooperator
33,2025-02-24,JPM,bear,-1.56,62.45,-0.9743,344267.97,35.0,-0.546,141180.95,55.0,-0.858,292622.19,24.1,-0.376,221928.89,-1.56,261627.23,Cooperator
34,2025-02-19,JPM,bear,0.31,52.5,0.1628,346894.99,35.0,0.1085,125463.69,70.0,0.217,329664.82,35.5,0.11,197976.49,0.31,262438.27,Defector
35,2025-02-13,JPM,bear,0.3,52.5,0.1575,347394.04,35.0,0.105,102090.03,55.0,0.165,338980.54,58.75,0.1762,211535.4,0.3,263225.59,Signal Follower
36,2025-02-10,JPM,bear,-1.85,52.5,-0.9712,334634.47,50.0,-0.925,102908.75,55.0,-1.0175,311360.96,40.0,-0.74,251095.82,-1.85,258355.91,Cooperator
37,2025-02-05,JPM,bear,0.57,52.5,0.2992,328360.95,50.0,0.285,98629.98,70.0,0.399,355284.43,40.0,0.228,217724.64,0.57,259828.54,Defector
38,2025-01-31,JPM,bear,-0.72,52.5,-0.378,348982.18,50.0,-0.36,112557.17,55.0,-0.396,349740.06,58.75,-0.423,188720.59,-0.72,257957.78,Cooperator
39,2025-01-28,JPM,bear,0.49,52.5,0.2573,362832.46,35.0,0.1715,94393.86,55.0,0.2695,373665.81,40.0,0.196,169107.86,0.49,259221.77,Defector
